country,capital,population
Dominikanische Republik,Santo Domingo,10075045
Tschechien,Prag,10553443
Haiti,Port-au-Prince,10604000
Benin,Porto-Novo,10879829
Griechenland,Athen,10955000
Tunesien,Tunis,10982754
Burundi,Bujumbura,11178921
Ruanda,Kigali,11262564
Bolivien,Sucre,11410651
Somalia,Mogadischu,12316895
Südsudan,Juba,12340000
Simbabwe,Harare,12973808
Senegal,Dakar,13567338
Tschad,N’Djamena,13670084
Kambodscha,Phnom Penh,15458332
Guatemala,Guatemala-Stadt,15806675
Ecuador,Quito,16144000
Sambia,Lusaka,16212000
Malawi,Lilongwe,16407000
Niederlande,Amsterdam,17000059
Syrien,Damaskus,17064854
Burkina Faso,Ouagadougou,17322796
Kasachstan,Astana,17693500
Chile,Santiago de Chile,18006407
Rumänien,Bukarest,19511000
Madagaskar,Antananarivo,22434363
Kamerun,Yaoundé,22534532
Taiwan,Taipeh,23508362
Elfenbeinküste,Yamoussoukro,23919000
Mosambik,Maputo,24692144
Nordkorea,Pjöngjang,24895000
Jemen,Sanaa,25408000
Ghana,Accra,27043093
Saudi-Arabien,Riad,30770375
Peru,Lima,31151643
Usbekistan,Taschkent,31576400
Afghanistan,Kabul,32564342
Kanada,Ottawa,36286425
Irak,Bagdad,37056169
Polen,Warschau,38483957
Sudan,Khartum,40235000
Algerien,Algier,40400000
Ukraine,Kiew,42539010
Argentinien,Buenos Aires,43417000
Kenia,Nairobi,45010056
Kolumbien,Bogotá,48786100
Südkorea,Seoul,50801405
Tansania,Dodoma,51820000
Italien,Rom,60674003
Vereinigtes Königreich,London,65110000
Frankreich,Paris,66736000
Thailand,Bangkok,67959000
Iran,Teheran,79200000
Demokratische Republik Kongo,Kinshasa,81680000
Deutschland,Berlin,82175700
Vietnam,Hanoi,91700000
Äthiopien,Addis Abeba,99465819
Mexiko,Mexiko-Stadt,119530753
Russland,Moskau,144192450
Bangladesch,Dhaka,168957745
Nigeria,Abuja,188462640
Pakistan,Islamabad,201995540
Brasilien,Brasília,206440850
Indonesien,Jakarta,255461700
Vereinigte Staaten,"Washington, D.C.",324720797
Indien,Neu-Delhi,1293057000
China,Peking,1376049000
